Timestamp,Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
9-3-2020 13:58:52,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:59:16,Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 13:59:54,Male,On (All the time),Always On,Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Effective
9-3-2020 14:00:05,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:00:44,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,Other,No,Presentations (ppt),No,Offline classes,Useless
9-3-2020 14:01:46,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:02:13,Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,Necessity
9-3-2020 14:04:46,Male,On (When teacher asks),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,No,Offline classes,So much pressure in my head
9-3-2020 14:06:35,Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:06:56,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Can't focus much
9-3-2020 14:07:07,Female,On (All the time),Always On,Laptop,Back pain,Yes,Black board teaching,No,Offline classes,
9-3-2020 14:07:36,Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:08:17,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Unable to handle much stress
9-3-2020 14:08:47,Female,Off (Shy to switch on),Off (Do not want to reply),"Tab, Laptop","Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,None
9-3-2020 14:09:46,Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 14:09:53,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,Stress,Yes,Black board teaching,Yes,Offline classes,
9-3-2020 14:10:36,Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Online classes,
9-3-2020 14:11:13,Female,On (All the time),Always On,Laptop,Back pain,No,Black board teaching,No,Offline classes,
9-3-2020 14:11:45,Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:12:25,Male,Off (Untidy appearance),Off (No mic available),Phone,"Eye Strain, Stress",Yes,Black board teaching,No,Offline classes,
9-3-2020 14:13:40,Male,Off (Untidy appearance),Off (No mic available),Phone,"Eye Strain, Stress",Yes,Black board teaching,No,Offline classes,
9-3-2020 14:14:35,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,Yes,Offline classes,
9-3-2020 14:14:37,Female,Off (Shy to switch on),Off (Other reason),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
9-3-2020 14:15:00,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 14:15:32,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),Yes,Offline classes,"Why don't they pay for our internet because it is there idea to provide online instead of offline calsses. So they should pay our charges from our college fee..
No offense..
It'll be soo good though😁"
9-3-2020 14:15:45,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 14:16:14,Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:16:28,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 14:16:50,Female,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
9-3-2020 14:17:06,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:17:12,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Presentations (ppt),No,Offline classes,nothing
9-3-2020 14:17:27,Male,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Online classes,
9-3-2020 14:17:29,Female,On (When teacher asks),Always On,Laptop,"Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Good
9-3-2020 14:17:33,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:18:15,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,nothing
9-3-2020 14:18:20,Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,Online classes are not much effective
9-3-2020 14:19:15,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,nothing
9-3-2020 14:19:37,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,Yes,Offline classes,nothing
9-3-2020 14:20:21,Male,Off (Untidy appearance),Off (Do not want to reply),"Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,Yes,Online classes,Nothing
9-3-2020 14:20:40,Female,On (All the time),On (To answer Teacher),Laptop,Stress,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:21:08,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,nothing
9-3-2020 14:22:30,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Boring
9-3-2020 14:22:30,Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:22:36,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:22:54,Male,On (All the time),Always On,Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:23:16,Female,On (All the time),Always On,Laptop,Stress,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:23:41,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:24:09,Female,Off (Other reason),Off (Other reason),Laptop,Headache,Yes,Black board teaching,Yes,Online classes,
9-3-2020 14:24:10,Male,Off (Other reason),Off (Other reason),"Phone, Computer","Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:24:10,Female,On (All the time),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
9-3-2020 14:24:29,Female,On (All the time),Always On,Laptop,Other,No,Black board teaching,No,Offline classes,
9-3-2020 14:24:49,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab","Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,Good
9-3-2020 14:24:49,Female,On (When teacher asks),On (To answer Teacher),Tab,Other,No,Black board teaching,No,Offline classes,
9-3-2020 14:25:10,Male,Off (Other reason),Always On,Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:25:12,Female,On (When teacher asks),Always On,Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:25:33,Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Tab, Laptop, Computer",Headache,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:25:33,Female,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:25:59,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Offline classes,If it's online and takes months to end this corona. I suggest you to try providing eye protection glasses. 
9-3-2020 14:26:00,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:26:17,Female,On (All the time),Always On,Laptop,Other,No,Black board teaching,No,Offline classes,
9-3-2020 14:26:18,Female,On (When teacher asks),Off (Do not want to reply),Computer,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 14:26:54,Female,On (All the time),Always On,Laptop,Stress,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:27:19,Female,Off (No webcam available),Off (No mic available),Computer,Stress,Yes,Black board teaching,Yes,Offline classes,None
9-3-2020 14:27:45,Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:27:47,Female,On (When teacher asks),Always On,Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:27:55,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:28:55,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:28:57,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:29:34,Female,Off (Untidy appearance),Off (Do not want to reply),"Tab, Laptop","Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,No proper usage
9-3-2020 14:29:38,Male,Off (Untidy appearance),Always On,Laptop,"Eye Strain, Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:29:42,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:29:50,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:29:58,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:30:00,Male,On (All the time),On (To answer Teacher),"Phone, Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:30:14,Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:30:21,Female,On (When teacher asks),On (To answer Teacher),Laptop,Other,Yes,Presentations (ppt),No,Offline classes,
9-3-2020 14:30:23,Female,On (When teacher asks),Always On,Phone,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:30:28,Male,On (All the time),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:30:36,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:30:44,Male,On (All the time),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:31:02,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:31:05,Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:31:08,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:31:19,Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:31:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:31:34,Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:31:42,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,
9-3-2020 14:31:44,Female,On (All the time),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:31:50,Male,On (All the time),On (To answer Teacher),Phone,"Eye Strain, Other, No Issue",Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:31:59,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:32:06,Male,On (All the time),On (To answer Teacher),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:32:19,Male,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:32:31,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:32:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Offline classes,
9-3-2020 14:32:45,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:32:51,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:33:01,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,
9-3-2020 14:33:06,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:33:20,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Black board teaching,Yes,Offline classes,Not interesting to listen
9-3-2020 14:33:27,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:33:29,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:33:31,Male,On (All the time),Off (No mic available),Laptop,Headache,No,Black board teaching,No,Offline classes,rubbish
9-3-2020 14:33:32,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,No,Black board teaching,No,Offline classes,
9-3-2020 14:34:06,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:34:12,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:34:19,Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
9-3-2020 14:34:43,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:34:57,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:35:03,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:35:09,Male,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Black board teaching,No,Offline classes,waste of time and internet nobody actually could concentrate 
9-3-2020 14:35:12,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:35:17,Male,Off (No webcam available),Always On,Phone,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
9-3-2020 14:35:19,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:35:24,Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),Yes,Online classes,
9-3-2020 14:35:35,Female,Off (Other reason),Off (Other reason),Phone,Eye Strain,No,Black board teaching,No,Offline classes,waste
9-3-2020 14:35:57,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:36:23,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:36:26,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:36:35,Male,Off (Untidy appearance),Off (No mic available),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,can’t understand sometimes lecturers voice breaks continuously 
9-3-2020 14:36:49,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Other",Yes,Black board teaching,No,Offline classes,Need to change
9-3-2020 14:36:56,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:37:00,Male,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:37:09,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Offline classes,
9-3-2020 14:37:12,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:37:17,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:37:32,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:37:55,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:38:05,Male,On (All the time),On (To answer Teacher),"Laptop, Computer","Eye Strain, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:38:08,Male,Off (Shy to switch on),Off (Do not want to reply),Tab,Stress,Yes,Black board teaching,No,Offline classes,
9-3-2020 14:38:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:38:26,Female,On (When teacher asks),Off (Other reason),Computer,Eye Strain,No,Presentations (ppt),No,Online classes,
9-3-2020 14:38:32,Female,On (When teacher asks),On (To answer Teacher),Computer,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:38:34,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:38:44,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
9-3-2020 14:38:59,Male,Off (Untidy appearance),Off (No mic available),"Phone, Laptop",Other,No,Presentations (ppt),No,Online classes,
9-3-2020 14:39:09,Female,On (All the time),Always On,Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:39:24,Female,Off (Untidy appearance),Off (Other reason),"Phone, Laptop, Computer",Stress,Yes,Black board teaching,Yes,Online classes,
9-3-2020 14:39:35,Female,On (All the time),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:39:51,Female,On (All the time),Off (Other reason),Laptop,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:40:13,Male,On (All the time),Always On,"Tab, Computer",No Issue,Yes,Presentations (ppt),No,Offline classes,
9-3-2020 14:40:15,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 14:40:31,Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
9-3-2020 14:40:39,Male,Off (No webcam available),Off (No mic available),Computer,No Issue,No,Presentations (ppt),Yes,Offline classes,
9-3-2020 14:41:06,Female,On (When teacher asks),Always On,Tab,Other,No,Black board teaching,No,Offline classes,
9-3-2020 14:41:40,Female,Off (Other reason),Off (Other reason),Computer,Other,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 14:41:43,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:41:48,Female,On (When teacher asks),Always On,"Laptop, Computer",Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:42:00,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,Offline classes
9-3-2020 14:42:15,Female,Off (Shy to switch on),Off (No mic available),"Tab, Laptop","Eye Strain, Back pain, Headache",No,Presentations (ppt),No,Offline classes,
9-3-2020 14:42:32,Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,Headache,No,Black board teaching,No,Online classes,Offline is better
9-3-2020 14:42:36,Male,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
9-3-2020 14:42:37,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:42:37,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 14:42:58,Male,Off (Untidy appearance),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,
9-3-2020 14:42:59,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
9-3-2020 14:43:05,Female,On (When teacher asks),Off (No mic available),Phone,"Back pain, Headache, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:43:24,Female,Off (Shy to switch on),Off (Do not want to reply),Tab,"Eye Strain, Back pain, Stress",No,Black board teaching,Yes,Offline classes,
9-3-2020 14:43:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,No,Offline classes,
9-3-2020 14:43:34,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:43:35,Female,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:43:43,Male,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain, Other",Yes,Black board teaching,Yes,Online classes,
9-3-2020 14:43:59,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Headache, Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 14:44:03,Male,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",No,Black board teaching,Yes,Online classes,
9-3-2020 14:44:39,Female,Off (No webcam available),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Online classes,
9-3-2020 14:44:59,Male,Off (Shy to switch on),Off (Do not want to reply),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes,Offline is better
9-3-2020 14:45:20,Male,On (When teacher asks),Off (Do not want to reply),"Tab, Laptop","Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:45:38,Male,Off (Untidy appearance),Always On,Tab,Eye Strain,Yes,Black board teaching,No,Offline classes,
9-3-2020 14:45:58,Male,Off (Shy to switch on),On (To answer Teacher),Phone,Other,No,Black board teaching,No,Offline classes,"Nothing
"
9-3-2020 14:46:09,Male,On (When teacher asks),Off (Do not want to reply),Laptop,Back pain,Yes,Black board teaching,Yes,Offline classes,
9-3-2020 14:46:31,Male,On (When teacher asks),Always On,"Phone, Tab","Eye Strain, Back pain, Stress",Yes,Black board teaching,No,Offline classes,
9-3-2020 14:46:33,Male,Off (No webcam available),Off (Do not want to reply),Tab,"Headache, Stress",No,Black board teaching,Yes,Online classes,
9-3-2020 14:46:54,Male,Off (Untidy appearance),Off (No mic available),Computer,"Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 14:51:06,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,I think whole days on viewing screen is getting stress and losing body power and getting headache
9-3-2020 14:51:59,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",No,Presentations (ppt),No,Offline classes,
9-3-2020 14:53:19,Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:55:28,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 14:56:24,Male,On (All the time),Always On,Phone,Eye Strain,No,Presentations (ppt),No,Offline classes,
9-3-2020 15:00:18,Male,Off (No webcam available),Off (Other reason),Computer,"Eye Strain, Back pain, Headache, Other",Yes,Presentations (ppt),No,Offline classes,Completely waste of time and no proper organization. Attendence issues even if we are present in the class.No stable connection and etc
9-3-2020 15:12:54,Male,On (When teacher asks),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,Government should develop infrastructure to promote online teaching. Education shouled be provided through both the modes.
9-3-2020 15:35:39,Male,On (When teacher asks),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Offline classes,It's good experience
9-3-2020 15:40:00,Male,Off (Untidy appearance),Off (No mic available),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,can’t understand sometimes lecturers voice breaks continuously 
9-3-2020 15:48:34,Male,Off (Shy to switch on),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
9-3-2020 15:48:57,Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Presentations (ppt),Yes,Online classes,
9-3-2020 15:49:17,Male,Off (Shy to switch on),On (To answer Teacher),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 15:49:37,Male,On (When teacher asks),Off (Do not want to reply),Tab,"Eye Strain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
9-3-2020 15:49:57,Female,On (When teacher asks),Always On,Phone,Headache,Yes,Presentations (ppt),No,Online classes,
9-3-2020 15:50:15,Male,Off (Untidy appearance),Off (Do not want to reply),"Phone, Tab","Eye Strain, Back pain",Yes,Black board teaching,No,Online classes,
9-3-2020 15:50:37,Female,On (When teacher asks),Always On,"Phone, Tab","Headache, Stress",Yes,Black board teaching,Yes,Online classes,
9-3-2020 15:51:21,Female,Off (No webcam available),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Online classes,
9-3-2020 15:51:38,Male,Off (Shy to switch on),Always On,Phone,Back pain,Yes,Black board teaching,Yes,Offline classes,
9-3-2020 15:52:00,Male,On (When teacher asks),Always On,"Phone, Tab, Laptop","Eye Strain, Back pain",Yes,Black board teaching,Yes,Online classes,
9-3-2020 15:52:20,Male,Off (Shy to switch on),On (To answer Teacher),"Tab, Laptop, Computer","Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 15:56:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,
9-3-2020 18:42:50,Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
